Starting training at: Thu Apr 16 10:43:15 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.4516', 'grad_norm': '13.33', 'learning_rate': '7.965e-06', 'epoch': '0.4795'}
{'eval_loss': '0.3815', 'eval_wer': '0.3085', 'eval_runtime': '30.71', 'eval_samples_per_second': '46.46', 'eval_steps_per_second': '5.828', 'epoch': '0.4795'}
{'loss': '0.3855', 'grad_norm': '35.16', 'learning_rate': '7.947e-06', 'epoch': '0.4832'}
{'loss': '0.4193', 'grad_norm': '11.33', 'learning_rate': '7.928e-06', 'epoch': '0.4869'}
{'loss': '0.3748', 'grad_norm': '10.8', 'learning_rate': '7.91e-06', 'epoch': '0.4906'}
{'loss': '0.3932', 'grad_norm': '10.23', 'learning_rate': '7.891e-06', 'epoch': '0.4942'}
{'loss': '0.42', 'grad_norm': '19.85', 'learning_rate': '7.873e-06', 'epoch': '0.4979'}
{'loss': '0.413', 'grad_norm': '7.682', 'learning_rate': '7.854e-06', 'epoch': '0.5016'}
{'loss': '0.4036', 'grad_norm': '5.778', 'learning_rate': '7.836e-06', 'epoch': '0.5053'}
{'loss': '0.3932', 'grad_norm': '4.573', 'learning_rate': '7.817e-06', 'epoch': '0.509'}
{'loss': '0.3786', 'grad_norm': '15.08', 'learning_rate': '7.799e-06', 'epoch': '0.5127'}
{'loss': '0.3986', 'grad_norm': '4.975', 'learning_rate': '7.78e-06', 'epoch': '0.5164'}
{'eval_loss': '0.3575', 'eval_wer': '0.297', 'eval_runtime': '29.6', 'eval_samples_per_second': '48.21', 'eval_steps_per_second': '6.047', 'epoch': '0.5164'}
{'loss': '0.3553', 'grad_norm': '7.7', 'learning_rate': '7.761e-06', 'epoch': '0.5201'}
{'loss': '0.3964', 'grad_norm': '5.305', 'learning_rate': '7.743e-06', 'epoch': '0.5238'}
{'loss': '0.4037', 'grad_norm': '22.1', 'learning_rate': '7.724e-06', 'epoch': '0.5274'}
{'loss': '0.3814', 'grad_norm': '8.313', 'learning_rate': '7.706e-06', 'epoch': '0.5311'}
{'loss': '0.3881', 'grad_norm': '7.178', 'learning_rate': '7.687e-06', 'epoch': '0.5348'}
{'loss': '0.3598', 'grad_norm': '13.97', 'learning_rate': '7.669e-06', 'epoch': '0.5385'}
{'loss': '0.383', 'grad_norm': '11.3', 'learning_rate': '7.65e-06', 'epoch': '0.5422'}
{'loss': '0.3641', 'grad_norm': '9.255', 'learning_rate': '7.632e-06', 'epoch': '0.5459'}
{'loss': '0.401', 'grad_norm': '21.67', 'learning_rate': '7.613e-06', 'epoch': '0.5496'}
{'loss': '0.3692', 'grad_norm': '14.54', 'learning_rate': '7.595e-06', 'epoch': '0.5533'}
{'eval_loss': '0.3342', 'eval_wer': '0.286', 'eval_runtime': '29.87', 'eval_samples_per_second': '47.78', 'eval_steps_per_second': '5.993', 'epoch': '0.5533'}
{'loss': '0.3732', 'grad_norm': '13.42', 'learning_rate': '7.576e-06', 'epoch': '0.5569'}
{'loss': '0.3546', 'grad_norm': '24.11', 'learning_rate': '7.558e-06', 'epoch': '0.5606'}
{'loss': '0.3727', 'grad_norm': '16.6', 'learning_rate': '7.539e-06', 'epoch': '0.5643'}
{'loss': '0.3761', 'grad_norm': '9.719', 'learning_rate': '7.521e-06', 'epoch': '0.568'}
{'loss': '0.366', 'grad_norm': '5', 'learning_rate': '7.502e-06', 'epoch': '0.5717'}
{'loss': '0.3578', 'grad_norm': '10.59', 'learning_rate': '7.484e-06', 'epoch': '0.5754'}
{'loss': '0.3559', 'grad_norm': '13.28', 'learning_rate': '7.465e-06', 'epoch': '0.5791'}
{'loss': '0.3163', 'grad_norm': '9.935', 'learning_rate': '7.447e-06', 'epoch': '0.5828'}
{'loss': '0.3333', 'grad_norm': '21.03', 'learning_rate': '7.429e-06', 'epoch': '0.5865'}
{'loss': '0.3754', 'grad_norm': '13.36', 'learning_rate': '7.41e-06', 'epoch': '0.5901'}
{'eval_loss': '0.315', 'eval_wer': '0.2816', 'eval_runtime': '29.67', 'eval_samples_per_second': '48.1', 'eval_steps_per_second': '6.033', 'epoch': '0.5901'}
{'loss': '0.3357', 'grad_norm': '11.01', 'learning_rate': '7.391e-06', 'epoch': '0.5938'}
{'loss': '0.322', 'grad_norm': '8.203', 'learning_rate': '7.373e-06', 'epoch': '0.5975'}
{'loss': '0.3861', 'grad_norm': '22.22', 'learning_rate': '7.355e-06', 'epoch': '0.6012'}
{'loss': '0.3538', 'grad_norm': '13.32', 'learning_rate': '7.336e-06', 'epoch': '0.6049'}
{'loss': '0.3465', 'grad_norm': '7.215', 'learning_rate': '7.318e-06', 'epoch': '0.6086'}
{'loss': '0.35', 'grad_norm': '7.581', 'learning_rate': '7.299e-06', 'epoch': '0.6123'}
