Starting training at: Thu Apr 16 11:01:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.4874', 'grad_norm': '14.58', 'learning_rate': '8.687e-06', 'epoch': '0.3356'}
{'loss': '0.5006', 'grad_norm': '27.9', 'learning_rate': '8.668e-06', 'epoch': '0.3393'}
{'loss': '0.5139', 'grad_norm': '10.37', 'learning_rate': '8.65e-06', 'epoch': '0.343'}
{'loss': '0.48', 'grad_norm': '5.743', 'learning_rate': '8.631e-06', 'epoch': '0.3467'}
{'loss': '0.4657', 'grad_norm': 'inf', 'learning_rate': '8.613e-06', 'epoch': '0.3504'}
{'loss': '0.4664', 'grad_norm': '16.32', 'learning_rate': '8.594e-06', 'epoch': '0.3541'}
{'loss': '0.4784', 'grad_norm': '6.804', 'learning_rate': '8.576e-06', 'epoch': '0.3578'}
{'loss': '0.464', 'grad_norm': '15.2', 'learning_rate': '8.557e-06', 'epoch': '0.3615'}
{'loss': '0.4833', 'grad_norm': '5.826', 'learning_rate': '8.539e-06', 'epoch': '0.3652'}
{'loss': '0.4695', 'grad_norm': '14.41', 'learning_rate': '8.52e-06', 'epoch': '0.3688'}
{'eval_loss': '0.4142', 'eval_wer': '0.3223', 'eval_runtime': '26.23', 'eval_samples_per_second': '54.4', 'eval_steps_per_second': '6.824', 'epoch': '0.3688'}
{'loss': '0.457', 'grad_norm': '9.764', 'learning_rate': '8.502e-06', 'epoch': '0.3725'}
{'loss': '0.4377', 'grad_norm': '9.983', 'learning_rate': '8.483e-06', 'epoch': '0.3762'}
{'loss': '0.466', 'grad_norm': '5.367', 'learning_rate': '8.465e-06', 'epoch': '0.3799'}
{'loss': '0.4233', 'grad_norm': '8.885', 'learning_rate': '8.446e-06', 'epoch': '0.3836'}
{'loss': '0.4376', 'grad_norm': '8.089', 'learning_rate': '8.428e-06', 'epoch': '0.3873'}
{'loss': '0.4137', 'grad_norm': '11.89', 'learning_rate': '8.409e-06', 'epoch': '0.391'}
{'loss': '0.4384', 'grad_norm': '7.243', 'learning_rate': '8.391e-06', 'epoch': '0.3947'}
{'loss': '0.3976', 'grad_norm': '4.633', 'learning_rate': '8.372e-06', 'epoch': '0.3983'}
