Starting training at: Thu Apr 16 11:33:45 PM EDT 2026
Train: 27112, Valid: 1427
--- Starting Trainer ---
{'loss': '0.4484', 'grad_norm': '5.621', 'learning_rate': '8.131e-06', 'epoch': '0.4463'}
{'loss': '0.4723', 'grad_norm': '17.06', 'learning_rate': '8.113e-06', 'epoch': '0.45'}
{'loss': '0.463', 'grad_norm': '20.86', 'learning_rate': '8.094e-06', 'epoch': '0.4537'}
{'loss': '0.4396', 'grad_norm': '5.212', 'learning_rate': '8.076e-06', 'epoch': '0.4574'}
{'loss': '0.4178', 'grad_norm': '47.48', 'learning_rate': '8.057e-06', 'epoch': '0.4611'}
{'loss': '0.4093', 'grad_norm': '17.23', 'learning_rate': '8.039e-06', 'epoch': '0.4647'}
{'loss': '0.4218', 'grad_norm': '4.294', 'learning_rate': '8.02e-06', 'epoch': '0.4684'}
{'loss': '0.4315', 'grad_norm': '16.51', 'learning_rate': '8.002e-06', 'epoch': '0.4721'}
{'loss': '0.4241', 'grad_norm': '12.61', 'learning_rate': '7.983e-06', 'epoch': '0.4758'}
{'loss': '0.4424', 'grad_norm': '17.45', 'learning_rate': '7.965e-06', 'epoch': '0.4795'}
{'eval_loss': '0.4347', 'eval_wer': '0.3332', 'eval_runtime': '24.3', 'eval_samples_per_second': '58.73', 'eval_steps_per_second': '7.367', 'epoch': '0.4795'}
{'loss': '0.4036', 'grad_norm': '10.89', 'learning_rate': '7.946e-06', 'epoch': '0.4832'}
{'loss': '0.4117', 'grad_norm': '9.092', 'learning_rate': '7.928e-06', 'epoch': '0.4869'}
{'loss': '0.3823', 'grad_norm': '14.74', 'learning_rate': '7.909e-06', 'epoch': '0.4906'}
{'loss': '0.4124', 'grad_norm': '10.47', 'learning_rate': '7.891e-06', 'epoch': '0.4942'}
{'loss': '0.4441', 'grad_norm': '52.53', 'learning_rate': '7.872e-06', 'epoch': '0.4979'}
{'loss': '0.3695', 'grad_norm': '5.791', 'learning_rate': '7.854e-06', 'epoch': '0.5016'}
{'loss': '0.4048', 'grad_norm': '11.46', 'learning_rate': '7.835e-06', 'epoch': '0.5053'}
{'loss': '0.4018', 'grad_norm': '6.429', 'learning_rate': '7.817e-06', 'epoch': '0.509'}
{'loss': '0.3605', 'grad_norm': '26.34', 'learning_rate': '7.798e-06', 'epoch': '0.5127'}
{'loss': '0.3839', 'grad_norm': '6.768', 'learning_rate': '7.78e-06', 'epoch': '0.5164'}
{'eval_loss': '0.3833', 'eval_wer': '0.2997', 'eval_runtime': '24.19', 'eval_samples_per_second': '58.98', 'eval_steps_per_second': '7.399', 'epoch': '0.5164'}
{'loss': '0.3518', 'grad_norm': '10.42', 'learning_rate': '7.761e-06', 'epoch': '0.5201'}
{'loss': '0.4036', 'grad_norm': '3.567', 'learning_rate': '7.743e-06', 'epoch': '0.5238'}
{'loss': '0.3972', 'grad_norm': '11.62', 'learning_rate': '7.724e-06', 'epoch': '0.5274'}
{'loss': '0.426', 'grad_norm': '7.219', 'learning_rate': '7.706e-06', 'epoch': '0.5311'}
{'loss': '0.3804', 'grad_norm': '36.45', 'learning_rate': '7.687e-06', 'epoch': '0.5348'}
{'loss': '0.3831', 'grad_norm': '7.013', 'learning_rate': '7.669e-06', 'epoch': '0.5385'}
{'loss': '0.3803', 'grad_norm': '12.52', 'learning_rate': '7.65e-06', 'epoch': '0.5422'}
{'loss': '0.3799', 'grad_norm': '10.99', 'learning_rate': '7.631e-06', 'epoch': '0.5459'}
{'loss': '0.4177', 'grad_norm': '46.24', 'learning_rate': '7.613e-06', 'epoch': '0.5496'}
{'loss': '0.3707', 'grad_norm': '7.653', 'learning_rate': '7.594e-06', 'epoch': '0.5533'}
{'eval_loss': '0.361', 'eval_wer': '0.2927', 'eval_runtime': '24.38', 'eval_samples_per_second': '58.52', 'eval_steps_per_second': '7.341', 'epoch': '0.5533'}
{'loss': '0.3988', 'grad_norm': '14.46', 'learning_rate': '7.576e-06', 'epoch': '0.5569'}
{'loss': '0.3513', 'grad_norm': '14.09', 'learning_rate': '7.557e-06', 'epoch': '0.5606'}
{'loss': '0.3641', 'grad_norm': '11.42', 'learning_rate': '7.539e-06', 'epoch': '0.5643'}
{'loss': '0.3877', 'grad_norm': '9.563', 'learning_rate': '7.52e-06', 'epoch': '0.568'}
{'loss': '0.344', 'grad_norm': '6.187', 'learning_rate': '7.502e-06', 'epoch': '0.5717'}
{'loss': '0.3872', 'grad_norm': '11.3', 'learning_rate': '7.483e-06', 'epoch': '0.5754'}
{'loss': '0.3566', 'grad_norm': '8.703', 'learning_rate': '7.465e-06', 'epoch': '0.5791'}
{'loss': '0.33', 'grad_norm': '6.306', 'learning_rate': '7.446e-06', 'epoch': '0.5828'}
{'loss': '0.3321', 'grad_norm': '15.31', 'learning_rate': '7.428e-06', 'epoch': '0.5865'}
{'loss': '0.3573', 'grad_norm': '14.97', 'learning_rate': '7.409e-06', 'epoch': '0.5901'}
{'eval_loss': '0.3385', 'eval_wer': '0.2789', 'eval_runtime': '24.73', 'eval_samples_per_second': '57.69', 'eval_steps_per_second': '7.237', 'epoch': '0.5901'}
{'loss': '0.3412', 'grad_norm': '12.71', 'learning_rate': '7.391e-06', 'epoch': '0.5938'}
{'loss': '0.3198', 'grad_norm': '5.762', 'learning_rate': '7.372e-06', 'epoch': '0.5975'}
{'loss': '0.3658', 'grad_norm': '8.846', 'learning_rate': '7.354e-06', 'epoch': '0.6012'}
{'loss': '0.3701', 'grad_norm': '12.85', 'learning_rate': '7.335e-06', 'epoch': '0.6049'}
{'loss': '0.3489', 'grad_norm': '11.34', 'learning_rate': '7.317e-06', 'epoch': '0.6086'}
